local_date,latitude,longitude,daytime_sampled_max_vpd_kpa
1940-05-06,-33.25,150.5,0.6075299
1940-05-07,-33.25,150.0,0.77354074
1940-05-07,-33.25,150.25,0.6503434
1940-05-07,-33.25,150.5,0.6564542
1940-05-08,-33.25,150.0,0.84080094
1940-05-08,-33.25,150.25,0.7334961
1940-05-08,-33.25,150.5,0.7082451
1940-05-09,-33.25,150.0,0.2434541
1940-05-09,-33.25,150.25,0.16348243
1940-05-09,-33.25,150.5,0.20204496
1940-05-10,-33.25,150.0,0.7618816
1940-05-10,-33.25,150.25,0.6260179
1940-05-10,-33.25,150.5,0.54539454
1940-05-11,-33.25,150.0,0.93611234
1940-05-11,-33.25,150.25,0.6876037
1940-05-11,-33.25,150.5,0.46425712
1940-05-12,-33.25,150.0,0.8312385
1940-05-12,-33.25,150.25,0.66721094
1940-05-12,-33.25,150.5,0.58593905
1940-05-13,-33.25,150.0,0.5905155
1940-05-13,-33.25,150.25,0.49000728
1940-05-13,-33.25,150.5,0.47720432
1940-05-14,-33.25,150.0,0.18643081
1940-05-14,-33.25,150.25,0.12695909
1940-05-14,-33.25,150.5,0.07036555
1940-05-15,-33.25,150.0,0.5543107
1940-05-15,-33.25,150.25,0.31910014
1940-05-15,-33.25,150.5,0.22660065
1940-05-16,-33.25,150.0,0.76649106
1940-05-16,-33.25,150.25,0.7792794
1940-05-16,-33.25,150.5,0.918003
1940-05-17,-33.25,150.0,1.0291095
1940-05-17,-33.25,150.25,1.0895662
1940-05-17,-33.25,150.5,1.2678565
1940-05-18,-33.25,150.0,0.65984017
1940-05-18,-33.25,150.25,0.7718113
1940-05-18,-33.25,150.5,0.9931099
1940-05-19,-33.25,150.0,0.49413848
1940-05-19,-33.25,150.25,0.38173652
1940-05-19,-33.25,150.5,0.32738352
1940-05-20,-33.25,150.0,0.56716084
1940-05-20,-33.25,150.25,0.47025472
1940-05-20,-33.25,150.5,0.44933927
1940-05-21,-33.25,150.0,0.20300448
1940-05-21,-33.25,150.25,0.20035815
1940-05-21,-33.25,150.5,0.2418201
1940-05-22,-33.25,150.0,0.5397127
1940-05-22,-33.25,150.25,0.5906489
1940-05-22,-33.25,150.5,0.66866827
1940-05-23,-33.25,150.0,0.523684
1940-05-23,-33.25,150.25,0.5410797
1940-05-23,-33.25,150.5,0.58645314
1940-05-24,-33.25,150.0,0.60685027
1940-05-24,-33.25,150.25,0.5649934
1940-05-24,-33.25,150.5,0.5680333
1940-05-25,-33.25,150.0,0.82912076
1940-05-25,-33.25,150.25,0.8931328
1940-05-25,-33.25,150.5,1.0056372
1940-05-26,-33.25,150.0,0.7936503
1940-05-26,-33.25,150.25,0.736388
1940-05-26,-33.25,150.5,0.71912134
1940-05-27,-33.25,150.0,0.54086083
1940-05-27,-33.25,150.25,0.48023403
1940-05-27,-33.25,150.5,0.45456344
1940-05-28,-33.25,150.0,0.3709134
1940-05-28,-33.25,150.25,0.2968405
1940-05-28,-33.25,150.5,0.28050673
1940-05-29,-33.25,150.0,0.64004093
1940-05-29,-33.25,150.25,0.6470945
1940-05-29,-33.25,150.5,0.7038506
1940-05-30,-33.25,150.0,0.8006042
1940-05-30,-33.25,150.25,0.86896056
1940-05-30,-33.25,150.5,1.0296909
1940-05-31,-33.25,150.0,0.7099107
1940-05-31,-33.25,150.25,0.5880925
1940-05-31,-33.25,150.5,0.65250826
1940-06-01,-33.25,150.0,0.8732298
1940-06-01,-33.25,150.25,0.81716716
1940-06-01,-33.25,150.5,0.77296376
1940-06-02,-33.25,150.0,0.8254622
1940-06-02,-33.25,150.25,0.88595456
1940-06-02,-33.25,150.5,1.0058918
1940-06-03,-33.25,150.0,0.29288435
1940-06-03,-33.25,150.25,0.25428355
1940-06-03,-33.25,150.5,0.26871216
1940-06-04,-33.25,150.0,0.55210835
1940-06-04,-33.25,150.25,0.45269263
1940-06-04,-33.25,150.5,0.4572792
1940-06-05,-33.25,150.0,0.8309537
1940-06-05,-33.25,150.25,0.8241588
1940-06-05,-33.25,150.5,0.80568576
1940-06-06,-33.25,150.0,0.8291744
1940-06-06,-33.25,150.25,0.9445161
1940-06-06,-33.25,150.5,1.0872989
1940-06-07,-33.25,150.0,0.92940325
1940-06-07,-33.25,150.25,0.99319714
1940-06-07,-33.25,150.5,1.1096996
1940-06-08,-33.25,150.0,0.4371879
1940-06-08,-33.25,150.25,0.43290347
1940-06-08,-33.25,150.5,0.49992806
1940-06-09,-33.25,150.0,0.55357736
1940-06-09,-33.25,150.25,0.5594828
1940-06-09,-33.25,150.5,0.6179714
1940-06-10,-33.25,150.0,0.6825556
1940-06-10,-33.25,150.25,0.60067433
1940-06-10,-33.25,150.5,0.61701787
1940-06-11,-33.25,150.0,0.6534661
1940-06-11,-33.25,150.25,0.71559227
1940-06-11,-33.25,150.5,0.75622636
1940-06-12,-33.25,150.0,0.47566712
1940-06-12,-33.25,150.25,0.45905048
1940-06-12,-33.25,150.5,0.45163578
1940-06-13,-33.25,150.0,0.5573393
1940-06-13,-33.25,150.25,0.563251
1940-06-13,-33.25,150.5,0.62335104
1940-06-14,-33.25,150.0,0.8169948
1940-06-14,-33.25,150.25,0.8572862
1940-06-14,-33.25,150.5,0.9539853
1940-06-15,-33.25,150.0,1.0326514
1940-06-15,-33.25,150.25,1.0962286
1940-06-15,-33.25,150.5,1.2663777
1940-06-16,-33.25,150.0,1.1704981
1940-06-16,-33.25,150.25,1.2266126
1940-06-16,-33.25,150.5,1.3965282
1940-06-17,-33.25,150.0,0.65329677
1940-06-17,-33.25,150.25,0.5659245
1940-06-17,-33.25,150.5,0.5057415
1940-06-18,-33.25,150.0,0.30532318
1940-06-18,-33.25,150.25,0.27202427
1940-06-18,-33.25,150.5,0.32081825
1940-06-19,-33.25,150.0,0.45324904
1940-06-19,-33.25,150.25,0.39926964
1940-06-19,-33.25,150.5,0.36852324
1940-06-20,-33.25,150.0,0.55820876
1940-06-20,-33.25,150.25,0.5817179
1940-06-20,-33.25,150.5,0.71907634
1940-06-21,-33.25,150.0,0.52242637
1940-06-21,-33.25,150.25,0.6140724
1940-06-21,-33.25,150.5,0.79056036
1940-06-22,-33.25,150.0,0.46793664
1940-06-22,-33.25,150.25,0.5355416
1940-06-22,-33.25,150.5,0.6948714
1940-06-23,-33.25,150.0,0.6855555
1940-06-23,-33.25,150.25,0.69840384
1940-06-23,-33.25,150.5,0.7925033
1940-06-24,-33.25,150.0,0.6477274
1940-06-24,-33.25,150.25,0.64390004
1940-06-24,-33.25,150.5,0.7329848
1940-06-25,-33.25,150.0,0.4359671
1940-06-25,-33.25,150.25,0.41254812
1940-06-25,-33.25,150.5,0.44958925
1940-06-26,-33.25,150.0,0.45307893
1940-06-26,-33.25,150.25,0.42745274
1940-06-26,-33.25,150.5,0.45200884
1940-06-27,-33.25,150.0,0.24508971
1940-06-27,-33.25,150.25,0.21056211
1940-06-27,-33.25,150.5,0.22717416
1940-06-28,-33.25,150.0,0.24918866
1940-06-28,-33.25,150.25,0.13998711
1940-06-28,-33.25,150.5,0.067359686
1940-06-29,-33.25,150.0,0.54843557
1940-06-29,-33.25,150.25,0.5542978
1940-06-29,-33.25,150.5,0.60558486
1940-06-30,-33.25,150.0,0.4926328
1940-06-30,-33.25,150.25,0.28082347
1940-06-30,-33.25,150.5,0.12003648
1940-07-01,-33.25,150.0,0.5195704
1940-07-01,-33.25,150.25,0.5837628
1940-07-01,-33.25,150.5,0.74323475
1940-07-02,-33.25,150.0,0.11913514
1940-07-02,-33.25,150.25,0.2274139
1940-07-02,-33.25,150.5,0.34847903
1940-07-03,-33.25,150.0,0.38149142
1940-07-03,-33.25,150.25,0.44891
1940-07-03,-33.25,150.5,0.5758746
1940-07-04,-33.25,150.0,0.67287195
1940-07-04,-33.25,150.25,0.6175831
1940-07-04,-33.25,150.5,0.62768614
1940-07-05,-33.25,150.0,0.57015306
1940-07-05,-33.25,150.25,0.5623135
1940-07-05,-33.25,150.5,0.57206297
1940-07-06,-33.25,150.0,0.11112869
1940-07-06,-33.25,150.25,0.071448565
1940-07-06,-33.25,150.5,0.062442064
1940-07-07,-33.25,150.0,0.17142153
1940-07-07,-33.25,150.25,0.08974922
1940-07-07,-33.25,150.5,0.056823254
1940-07-08,-33.25,150.0,0.6023208
1940-07-08,-33.25,150.25,0.49490142
1940-07-08,-33.25,150.5,0.4245113
1940-07-09,-33.25,150.0,0.56873184
1940-07-09,-33.25,150.25,0.6512257
1940-07-09,-33.25,150.5,0.78545606
1940-07-10,-33.25,150.0,0.7962548
1940-07-10,-33.25,150.25,0.87023354
1940-07-10,-33.25,150.5,1.0305748
