date,year,month,dmi_labelled_index_value
1/12/1976,1976,12,-0.29
1/01/1977,1977,1,-0.59
1/02/1977,1977,2,-0.44
1/03/1977,1977,3,-0.09
1/04/1977,1977,4,0.37
1/05/1977,1977,5,0
1/06/1977,1977,6,-0.66
1/07/1977,1977,7,-0.97
1/08/1977,1977,8,-0.86
1/09/1977,1977,9,-0.47
1/10/1977,1977,10,-0.29
1/11/1977,1977,11,-0.16
1/12/1977,1977,12,-0.29
1/01/1978,1978,1,-0.58
1/02/1978,1978,2,-0.46
1/03/1978,1978,3,-0.04
1/04/1978,1978,4,0.36
1/05/1978,1978,5,0
1/06/1978,1978,6,-0.65
1/07/1978,1978,7,-0.95
1/08/1978,1978,8,-0.87
1/09/1978,1978,9,-0.48
1/10/1978,1978,10,-0.23
1/11/1978,1978,11,-0.12
1/12/1978,1978,12,-0.28
1/01/1979,1979,1,-0.67
1/02/1979,1979,2,-0.53
1/03/1979,1979,3,-0.09
1/04/1979,1979,4,0.36
1/05/1979,1979,5,-0.02
1/06/1979,1979,6,-0.6
1/07/1979,1979,7,-0.89
1/08/1979,1979,8,-0.87
1/09/1979,1979,9,-0.47
1/10/1979,1979,10,-0.21
1/11/1979,1979,11,-0.15
1/12/1979,1979,12,-0.33
1/01/1980,1980,1,-0.66
1/02/1980,1980,2,-0.54
1/03/1980,1980,3,-0.11
1/04/1980,1980,4,0.37
1/05/1980,1980,5,0.01
1/06/1980,1980,6,-0.52
1/07/1980,1980,7,-0.85
1/08/1980,1980,8,-0.86
1/09/1980,1980,9,-0.47
1/10/1980,1980,10,-0.25
1/11/1980,1980,11,-0.22
1/12/1980,1980,12,-0.33
1/01/1981,1981,1,-0.69
1/02/1981,1981,2,-0.6
1/03/1981,1981,3,-0.18
1/04/1981,1981,4,0.39
1/05/1981,1981,5,0.06
1/06/1981,1981,6,-0.57
1/07/1981,1981,7,-0.89
1/08/1981,1981,8,-0.9
1/09/1981,1981,9,-0.52
1/10/1981,1981,10,-0.26
1/11/1981,1981,11,-0.24
1/12/1981,1981,12,-0.35
1/01/1982,1982,1,-0.7
1/02/1982,1982,2,-0.58
1/03/1982,1982,3,-0.19
1/04/1982,1982,4,0.4
1/05/1982,1982,5,0.1
1/06/1982,1982,6,-0.59
1/07/1982,1982,7,-0.92
1/08/1982,1982,8,-0.93
1/09/1982,1982,9,-0.54
1/10/1982,1982,10,-0.26
1/11/1982,1982,11,-0.24
1/12/1982,1982,12,-0.36
1/01/1983,1983,1,-0.67
1/02/1983,1983,2,-0.53
1/03/1983,1983,3,-0.15
1/04/1983,1983,4,0.45
1/05/1983,1983,5,0.17
1/06/1983,1983,6,-0.52
1/07/1983,1983,7,-0.84
1/08/1983,1983,8,-0.86
1/09/1983,1983,9,-0.46
1/10/1983,1983,10,-0.14
1/11/1983,1983,11,-0.16
1/12/1983,1983,12,-0.37
1/01/1984,1984,1,-0.69
1/02/1984,1984,2,-0.58
1/03/1984,1984,3,-0.23
1/04/1984,1984,4,0.36
1/05/1984,1984,5,0.21
1/06/1984,1984,6,-0.43
1/07/1984,1984,7,-0.74
1/08/1984,1984,8,-0.79
1/09/1984,1984,9,-0.41
1/10/1984,1984,10,-0.11
1/11/1984,1984,11,-0.14
1/12/1984,1984,12,-0.36
1/01/1985,1985,1,-0.73
1/02/1985,1985,2,-0.6
1/03/1985,1985,3,-0.24
1/04/1985,1985,4,0.4
1/05/1985,1985,5,0.19
1/06/1985,1985,6,-0.48
1/07/1985,1985,7,-0.8
1/08/1985,1985,8,-0.87
1/09/1985,1985,9,-0.48
1/10/1985,1985,10,-0.2
1/11/1985,1985,11,-0.21
1/12/1985,1985,12,-0.38
1/01/1986,1986,1,-0.8
1/02/1986,1986,2,-0.69
1/03/1986,1986,3,-0.28
1/04/1986,1986,4,0.37
1/05/1986,1986,5,0.15
1/06/1986,1986,6,-0.6
1/07/1986,1986,7,-0.89
1/08/1986,1986,8,-0.93
1/09/1986,1986,9,-0.53
1/10/1986,1986,10,-0.27
1/11/1986,1986,11,-0.23
1/12/1986,1986,12,-0.43
1/01/1987,1987,1,-0.82
1/02/1987,1987,2,-0.66
1/03/1987,1987,3,-0.26
1/04/1987,1987,4,0.36
1/05/1987,1987,5,0.16
1/06/1987,1987,6,-0.62
1/07/1987,1987,7,-0.98
1/08/1987,1987,8,-0.96
1/09/1987,1987,9,-0.55
1/10/1987,1987,10,-0.25
1/11/1987,1987,11,-0.23
1/12/1987,1987,12,-0.48
1/01/1988,1988,1,-0.87
1/02/1988,1988,2,-0.71
1/03/1988,1988,3,-0.33
1/04/1988,1988,4,0.3
1/05/1988,1988,5,0.2
1/06/1988,1988,6,-0.67
1/07/1988,1988,7,-1.02
1/08/1988,1988,8,-0.93
1/09/1988,1988,9,-0.49
1/10/1988,1988,10,-0.2
1/11/1988,1988,11,-0.25
1/12/1988,1988,12,-0.48
1/01/1989,1989,1,-0.82
1/02/1989,1989,2,-0.68
1/03/1989,1989,3,-0.34
1/04/1989,1989,4,0.3
1/05/1989,1989,5,0.13
1/06/1989,1989,6,-0.73
1/07/1989,1989,7,-1.08
1/08/1989,1989,8,-0.96
1/09/1989,1989,9,-0.57
1/10/1989,1989,10,-0.28
1/11/1989,1989,11,-0.27
1/12/1989,1989,12,-0.45
1/01/1990,1990,1,-0.85
1/02/1990,1990,2,-0.7
1/03/1990,1990,3,-0.38
1/04/1990,1990,4,0.28
1/05/1990,1990,5,0.07
1/06/1990,1990,6,-0.84
1/07/1990,1990,7,-1.12
1/08/1990,1990,8,-1.04
1/09/1990,1990,9,-0.63
1/10/1990,1990,10,-0.37
1/11/1990,1990,11,-0.34
1/12/1990,1990,12,-0.5
1/01/1991,1991,1,-0.82
1/02/1991,1991,2,-0.69
1/03/1991,1991,3,-0.39
1/04/1991,1991,4,0.23
1/05/1991,1991,5,0
1/06/1991,1991,6,-0.89
1/07/1991,1991,7,-1.18
1/08/1991,1991,8,-1.14
1/09/1991,1991,9,-0.71
1/10/1991,1991,10,-0.48
1/11/1991,1991,11,-0.43
1/12/1991,1991,12,-0.54
1/01/1992,1992,1,-0.83
1/02/1992,1992,2,-0.67
1/03/1992,1992,3,-0.37
1/04/1992,1992,4,0.3
1/05/1992,1992,5,0.07
1/06/1992,1992,6,-0.89
1/07/1992,1992,7,-1.15
1/08/1992,1992,8,-1.09
1/09/1992,1992,9,-0.6
1/10/1992,1992,10,-0.38
1/11/1992,1992,11,-0.39
1/12/1992,1992,12,-0.51
1/01/1993,1993,1,-0.87
1/02/1993,1993,2,-0.71
1/03/1993,1993,3,-0.44
1/04/1993,1993,4,0.23
1/05/1993,1993,5,0.01
1/06/1993,1993,6,-0.99
1/07/1993,1993,7,-1.24
1/08/1993,1993,8,-1.15
1/09/1993,1993,9,-0.68
1/10/1993,1993,10,-0.45
1/11/1993,1993,11,-0.38
1/12/1993,1993,12,-0.49
1/01/1994,1994,1,-0.84
1/02/1994,1994,2,-0.65
1/03/1994,1994,3,-0.44
1/04/1994,1994,4,0.23
1/05/1994,1994,5,0.02
1/06/1994,1994,6,-0.96
1/07/1994,1994,7,-1.24
1/08/1994,1994,8,-1.15
1/09/1994,1994,9,-0.68
1/10/1994,1994,10,-0.41
1/11/1994,1994,11,-0.37
1/12/1994,1994,12,-0.48
1/01/1995,1995,1,-0.83
1/02/1995,1995,2,-0.72
1/03/1995,1995,3,-0.41
1/04/1995,1995,4,0.27
1/05/1995,1995,5,0.06
1/06/1995,1995,6,-0.93
1/07/1995,1995,7,-1.17
1/08/1995,1995,8,-1.02
1/09/1995,1995,9,-0.57
1/10/1995,1995,10,-0.27
1/11/1995,1995,11,-0.37
1/12/1995,1995,12,-0.48
1/01/1996,1996,1,-0.82
1/02/1996,1996,2,-0.64
1/03/1996,1996,3,-0.34
1/04/1996,1996,4,0.25
1/05/1996,1996,5,-0.01
1/06/1996,1996,6,-0.98
1/07/1996,1996,7,-1.29
