year,rainfall_derived_dryness_mm,annual_vpd_kpa,annual_ffdi_index,blue_mountains_lga_population_persons,chara_mean_raw_mm2_cm2_yr,raman_mean_raw_kw_m2,annual_mean_nino34_sst_anomaly_c,annual_mean_southern_oscillation_index,annual_mean_dmi_ipo_index,annual_mean_daily_max_vpd_kpa,annual_mean_vpd_smooth_365d_centered_kpa,annual_mean_vpd_smooth_1825d_centered_kpa
1939,450.21666666666647,,,,17.425493218333333,34.41491046,-0.19166666666666665,0.02,,,,
1940,696.2166666666666,1.3943400786666666,,,17.425493218333333,,0.7383333333333333,-1.5241666666666667,,1.3943400786666666,1.297603482155406,1.2178491271284788
1941,780.2166666666666,1.1204057097643836,,,15.257825453055554,43.93676606,1.11,-1.4475,,1.1204057097643836,1.1642318939756504,1.2442042098061568
1942,-23.78333333333353,1.057278258769863,,,15.257825453055554,,-0.45,0.019166666666666648,,1.057278258769863,1.1390081882238845,1.2500665961616677
1943,9.61666666666656,1.3944945106136986,,,20.637886895055555,,-0.5158333333333333,0.355,,1.3944945106136986,1.3249686569031374,1.2654750043385936
1944,892.7166666666666,1.377947576513661,,,20.637886895055555,,-0.10416666666666667,-0.2775,,1.377947576513661,1.333845588203749,1.3126884379852888
1945,317.01666666666665,1.2777189424054796,,,20.637886895055555,47.76339818,-0.6266666666666666,0.4183333333333334,,1.2777189424054796,1.365640671900268,1.3135074932778121
1946,528.3166666666666,1.497354337120548,,,17.87090549088889,,-0.21666666666666667,-0.7916666666666666,,1.497354337120548,1.3996197887366755,1.2858262227297692
1947,-48.083333333333485,1.088375396739726,,4919.0,20.54025397838889,,-0.2658333333333333,0.15916666666666668,,1.088375396739726,1.143179480842568,1.2558624145371995
1948,291.01666666666665,1.2298106801502733,,,20.54025397838889,41.8550558725,0.08083333333333333,-0.2325,,1.2298106801502733,1.1870705364177605,1.1841122939536624
1949,-472.38333333333344,1.1853900707315068,,,22.75375364305556,,-0.49666666666666665,-0.21333333333333335,,1.1853900707315068,1.1835677916900953,1.1562903139364331
1950,-1272.0833333333333,0.9739563322547944,3.44366,,20.89202197290476,,-1.0625,1.5108333333333333,-0.3958333333333333,0.9739563322547945,1.0072424879458466,1.1909065971353596
1951,-265.2833333333336,1.2600247221369862,6.40856,,20.89202197290476,,0.12583333333333335,-0.6941666666666667,-0.4191666666666667,1.2600247221369862,1.2605263326752028,1.2230006185366034
1952,-380.6833333333334,1.326694251636612,5.98823,,12.596280018619046,42.59121022,-0.18583333333333332,-0.22166666666666668,-0.4091666666666667,1.326694251636612,1.315644578023093,1.2595376385602821
1953,610.3166666666666,1.4135399744657533,6.51875,,14.839663217285716,41.52475795,0.31916666666666665,-0.7675000000000001,-0.3983333333333334,1.4135399744657533,1.3484037233591863,1.2932465189591562
1954,180.61666666666656,1.3066769725424658,5.18119,,17.848582427107143,47.06679072,-0.5866666666666667,0.2333333333333333,-0.36000000000000004,1.3066769725424658,1.365443484187182,1.27099980830377
1955,-79.48333333333335,1.2064631658739726,4.45205,,15.439614437678571,43.37999432,-1.1841666666666668,0.9025,-0.3841666666666666,1.2064631658739726,1.1753561202939868,1.3221683955105883
1956,-549.8833333333334,1.1055936271885247,4.95972,,18.391143688821423,39.3997678675,-0.8566666666666666,1.0191666666666668,-0.41083333333333333,1.1055936271885247,1.1511392011201145,1.3128376918957356
1957,731.4166666666665,1.695371366339726,10.0051,,18.391143688821423,,0.47500000000000003,-0.4558333333333333,-0.43249999999999994,1.695371366339726,1.5717163296084558,1.249951858285109
1958,194.71666666666647,1.2124494930246577,5.43524,,18.391143688821423,47.93875118,0.4291666666666667,-0.5016666666666666,-0.4583333333333333,1.2124494930246577,1.300847580027591,1.2391310829289648
1959,-123.38333333333344,0.9967858464219178,4.47743,,17.554156607535713,45.50369311,-0.017500000000000005,-0.10416666666666664,-0.4925,0.9967858464219178,1.0508778821045999,1.223964445550436
1960,310.51666666666665,1.1330079197185794,5.23056,,14.129353171678572,,-0.09000000000000001,0.2916666666666667,-0.5058333333333334,1.1330079197185794,1.1210004513537677,1.1136431317280908
1961,-208.98333333333332,1.0913093947178083,4.74703,,9.907392312821427,45.088367535,-0.18916666666666668,-0.010833333333333361,-0.5625,1.0913093947178083,1.0750812464424817,1.058069858053345
1962,-31.183333333333398,1.0295488249178082,4.9179,,32.92077341601587,,-0.33499999999999996,0.3858333333333333,-0.5216666666666666,1.0295488249178082,1.0208233786814598,1.0865189398232045
1963,-643.6833333333336,0.9611588197232876,4.05378,,32.92077341601587,,0.36083333333333334,-0.31916666666666665,-0.5116666666666667,0.9611588197232876,1.0223435301795185,1.1309601893033052
1964,313.3166666666666,1.1905981921885245,6.98302,,32.92077341601587,44.46461133,-0.5425,0.5391666666666667,-0.48583333333333334,1.1905981921885245,1.1937366771095952,1.14791064211361
1965,305.4166666666665,1.3594348585972604,8.73427,,35.360171037873016,31.57736811,0.6,-0.9525,-0.52,1.3594348585972604,1.3430268858033,1.1656939563045254
1966,515.9166666666665,1.1783570078246577,6.01416,16893.0,35.360171037873016,,0.23416666666666663,-0.5383333333333333,-0.5058333333333334,1.1783570078246575,1.1591660134194968,1.2083473844299313
1967,142.51666666666665,1.1213446363013695,5.92281,,35.360171037873016,,-0.37833333333333335,0.25416666666666665,-0.4991666666666667,1.1213446363013697,1.1096456047024548,1.1909124296268039
1968,685.4166666666665,1.2232570728661205,7.289,,35.360171037873016,,-0.02416666666666666,0.19999999999999998,-0.455,1.2232570728661203,1.2358716335555313,1.1311897980226413
1969,-107.1833333333334,1.1056507158027398,4.40573,,35.360171037873016,47.64713307,0.5575,-0.6658333333333334,-0.45416666666666666,1.1056507158027398,1.1063525126839353,1.1015881947473651
