date,year,month,southern_oscillation_index
1930-11-01,1930,11,0.3
1930-12-01,1930,12,-0.27
1931-01-01,1931,1,0.63
1931-02-01,1931,2,-1.61
1931-03-01,1931,3,0.44
1931-04-01,1931,4,1.1
1931-05-01,1931,5,1.66
1931-06-01,1931,6,2.23
1931-07-01,1931,7,0.98
1931-08-01,1931,8,-0.5
1931-09-01,1931,9,0.35
1931-10-01,1931,10,-1.0
1931-11-01,1931,11,-0.37
1931-12-01,1931,12,0.81
1932-01-01,1932,1,0.21
1932-02-01,1932,2,-0.36
1932-03-01,1932,3,-0.72
1932-04-01,1932,4,-2.76
1932-05-01,1932,5,0.09
1932-06-01,1932,6,-0.26
1932-07-01,1932,7,-1.52
1932-08-01,1932,8,-0.9
1932-09-01,1932,9,-0.86
1932-10-01,1932,10,-0.69
1932-11-01,1932,11,-0.61
1932-12-01,1932,12,0.25
1933-01-01,1933,1,-1.22
1933-02-01,1933,2,0.34
1933-03-01,1933,3,-0.35
1933-04-01,1933,4,0.47
1933-05-01,1933,5,0.74
1933-06-01,1933,6,-0.68
1933-07-01,1933,7,0.38
1933-08-01,1933,8,-0.23
1933-09-01,1933,9,0.17
1933-10-01,1933,10,0.17
1933-11-01,1933,11,0.53
1933-12-01,1933,12,0.81
1934-01-01,1934,1,0.62
1934-02-01,1934,2,-0.06
1934-03-01,1934,3,-0.12
1934-04-01,1934,4,0.64
1934-05-01,1934,5,-0.76
1934-06-01,1934,6,1.12
1934-07-01,1934,7,0.3
1934-08-01,1934,8,-2.44
1934-09-01,1934,9,-0.64
1934-10-01,1934,10,0.38
1934-11-01,1934,11,1.21
1934-12-01,1934,12,-0.38
1935-01-01,1935,1,0.64
1935-02-01,1935,2,-0.56
1935-03-01,1935,3,1.21
1935-04-01,1935,4,0.37
1935-05-01,1935,5,-0.46
1935-06-01,1935,6,-0.42
1935-07-01,1935,7,-0.02
1935-08-01,1935,8,0.0
1935-09-01,1935,9,0.59
1935-10-01,1935,10,0.6
1935-11-01,1935,11,0.3
1935-12-01,1935,12,-0.56
1936-01-01,1936,1,-0.3
1936-02-01,1936,2,-0.04
1936-03-01,1936,3,0.05
1936-04-01,1936,4,2.81
1936-05-01,1936,5,0.27
